episode,reward,win,loss,steps,epsilon,replay_size
1,12.260000,0,,136,0.999572,136
2,12.825000,0,,500,0.997989,636
3,15.365000,0,,441,0.996593,1077
4,17.890000,1,,71,0.996368,1148
5,15.300000,0,,408,0.995076,1556
6,6.190000,0,,210,0.994411,1766
7,15.485000,0,,500,0.992827,2266
8,15.260000,0,,248,0.992042,2514
9,-0.485000,0,,500,0.990459,3014
10,17.370000,1,,75,0.990221,3089
11,15.870000,0,,424,0.988879,3513
12,16.835000,0,,161,0.988369,3674
13,22.440000,1,,229,0.987644,3903
14,19.290000,1,,169,0.987108,4072
15,4.900000,0,,236,0.986361,4308
16,11.755000,0,,316,0.985360,4624
17,13.165000,0,,157,0.984863,4781
18,16.185000,0,,500,0.983280,5281
19,13.590000,0,,145,0.982821,5426
20,7.960000,0,,94,0.982523,5520
21,14.500000,0,,186,0.981934,5706
22,15.335000,0,,500,0.980351,6206
23,20.255000,1,,124,0.979958,6330
24,16.970000,0,,152,0.979477,6482
25,22.185000,1,,138,0.979040,6620
26,15.545000,0,,145,0.978581,6765
27,7.715000,0,,194,0.977966,6959
28,12.840000,0,,322,0.976947,7281
29,10.925000,0,,101,0.976627,7382
30,17.340000,0,,380,0.975423,7762
31,10.825000,0,,168,0.974892,7930
32,17.230000,1,,113,0.974534,8043
33,14.920000,1,,109,0.974189,8152
34,-3.500000,0,,454,0.972751,8606
35,18.775000,0,,500,0.971167,9106
36,3.355000,0,,307,0.970195,9413
37,21.055000,0,,500,0.968612,9913
38,19.600000,1,0.029073,123,0.968222,10036
39,16.775000,0,0.057639,500,0.966639,10536
40,10.210000,0,0.110303,248,0.965854,10784
41,22.415000,1,0.068999,316,0.964853,11100
42,11.790000,0,0.071077,112,0.964499,11212
43,14.560000,0,0.115987,172,0.963954,11384
44,15.245000,0,0.079438,495,0.962386,11879
45,3.055000,0,0.102665,500,0.960803,12379
46,11.805000,1,0.080775,38,0.960683,12417
47,8.095000,0,0.076523,128,0.960277,12545
48,14.820000,0,0.082206,186,0.959688,12731
49,17.410000,0,0.080116,482,0.958162,13213
50,19.015000,0,0.077685,443,0.956759,13656
51,15.725000,0,0.055710,405,0.955477,14061
52,12.630000,0,0.066057,184,0.954894,14245
53,2.035000,0,0.064632,52,0.954729,14297
54,12.730000,1,0.059147,47,0.954581,14344
55,16.315000,0,0.067091,383,0.953368,14727
